Dataset,Algorithm,Nodes,Vehicles,Capacity,Time_s,TimeLimit,HitTimeLimit,Status,Cost,Routes
E-n51-k5.vrp,HYBRID_GA_ILP,50,5,160,30.14,20,True,Optimal,627.0,"[[1, 2, 28, 7, 15, 26, 14, 42, 41, 20, 1], [1, 24, 44, 8, 27, 9, 32, 4, 37, 36, 21, 30, 1], [1, 33, 23, 29, 3, 17, 22, 35, 51, 39, 12, 1], [1, 48, 38, 46, 34, 40, 11, 31, 10, 50, 6, 47, 1], [1, 49, 25, 19, 5, 43, 45, 16, 18, 13, 1]]"
E-n51-k5.vrp,ILP_CBC_WARM,50,5,160,30.1,30,True,Optimal,728.0,"[[1, 3, 23, 8, 24, 25, 44, 35, 31, 40, 1], [1, 7, 49, 9, 27, 32, 29, 4, 21, 36, 37, 1], [1, 19, 15, 26, 14, 41, 46, 34, 1], [1, 28, 2, 33, 12, 39, 6, 50, 10, 51, 17, 30, 22, 1], [1, 47, 13, 48, 5, 18, 38, 16, 45, 43, 20, 42, 11, 1]]"
E-n51-k5.vrp,ILP_CBC_OPT,50,5,160,30.06,30,True,Not Solved,,[]
E-n51-k5.vrp,ILP_CBC_WARM,50,5,160,30.08,30,True,Optimal,728.0,"[[1, 3, 23, 8, 24, 25, 44, 35, 31, 40, 1], [1, 7, 49, 9, 27, 32, 29, 4, 21, 36, 37, 1], [1, 19, 15, 26, 14, 41, 46, 34, 1], [1, 28, 2, 33, 12, 39, 6, 50, 10, 51, 17, 30, 22, 1], [1, 47, 13, 48, 5, 18, 38, 16, 45, 43, 20, 42, 11, 1]]"
E-n51-k5.vrp,ILP_CBC_WARM,50,5,160,120.12,120,True,Optimal,728.0,"[[1, 3, 23, 8, 24, 25, 44, 35, 31, 40, 1], [1, 7, 49, 9, 27, 32, 29, 4, 21, 36, 37, 1], [1, 19, 15, 26, 14, 41, 46, 34, 1], [1, 28, 2, 33, 12, 39, 6, 50, 10, 51, 17, 30, 22, 1], [1, 47, 13, 48, 5, 18, 38, 16, 45, 43, 20, 42, 11, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP,50,5,160,140.12,120,True,Optimal,870.0,"[[1, 13, 35, 2, 51, 42, 20, 41, 43, 45, 1], [1, 18, 17, 36, 3, 37, 4, 29, 32, 27, 9, 49, 1], [1, 28, 8, 44, 25, 15, 26, 14, 24, 7, 1], [1, 40, 34, 50, 16, 46, 38, 6, 39, 12, 33, 23, 1], [1, 48, 19, 5, 22, 30, 21, 31, 10, 11, 47, 1]]"
E-n51-k5.vrp,GA_CVRP,50,5,160,120.01,120,True,Time Limit,562,"[[1, 47, 19, 5, 18, 38, 45, 46, 34, 16, 13, 1], [1, 33, 3, 30, 22, 51, 35, 31, 40, 11, 50, 10, 1], [1, 6, 39, 12, 17, 21, 36, 37, 4, 23, 2, 1], [1, 28, 49, 9, 29, 32, 27, 8, 24, 44, 25, 7, 1], [1, 48, 43, 20, 41, 42, 14, 26, 15, 1]]"
E-n51-k5.vrp,ILP_CBC_WARM,50,5,160,120.1,120,True,Optimal,728.0,"[[1, 3, 23, 8, 24, 25, 44, 35, 31, 40, 1], [1, 7, 49, 9, 27, 32, 29, 4, 21, 36, 37, 1], [1, 19, 15, 26, 14, 41, 46, 34, 1], [1, 28, 2, 33, 12, 39, 6, 50, 10, 51, 17, 30, 22, 1], [1, 47, 13, 48, 5, 18, 38, 16, 45, 43, 20, 42, 11, 1]]"
E-n51-k5.vrp,GA_CVRP,50,5,160,120.01,120,True,Time Limit,556,"[[1, 47, 6, 39, 12, 17, 21, 36, 37, 4, 23, 2, 1], [1, 10, 50, 11, 40, 31, 35, 51, 22, 30, 3, 33, 1], [1, 13, 38, 16, 34, 46, 45, 18, 5, 19, 1], [1, 28, 49, 9, 29, 32, 27, 8, 24, 44, 25, 7, 1], [1, 48, 43, 41, 20, 42, 14, 26, 15, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP,50,5,160,140.13,120,True,Optimal,870.0,"[[1, 13, 35, 2, 51, 42, 20, 41, 43, 45, 1], [1, 18, 17, 36, 3, 37, 4, 29, 32, 27, 9, 49, 1], [1, 28, 8, 44, 25, 15, 26, 14, 24, 7, 1], [1, 40, 34, 50, 16, 46, 38, 6, 39, 12, 33, 23, 1], [1, 48, 19, 5, 22, 30, 21, 31, 10, 11, 47, 1]]"
